logTime,경기동남권_광역 성남 공도(배) 유출 유량 적산차,경기동남권_광역 성남 원곡(배) 유출 유량 적산차,hour,weekday,is_weekend,is_holiday
2020-01-02 00:00:00,284.0,355.0,0,3,False,False
2020-01-02 01:00:00,246.0,251.0,1,3,False,False
2020-01-02 02:00:00,10.0,240.0,2,3,False,False
2020-01-02 03:00:00,16.0,314.0,3,3,False,False
2020-01-02 04:00:00,0.0,168.0,4,3,False,False
2020-01-02 05:00:00,34.0,156.0,5,3,False,False
2020-01-02 06:00:00,24.0,172.0,6,3,False,False
2020-01-02 07:00:00,194.0,275.0,7,3,False,False
2020-01-02 08:00:00,228.0,427.0,8,3,False,False
2020-01-02 09:00:00,364.0,492.0,9,3,False,False
2020-01-02 10:00:00,272.0,397.0,10,3,False,False
2020-01-02 11:00:00,100.0,386.0,11,3,False,False
2020-01-02 12:00:00,120.0,342.0,12,3,False,False
2020-01-02 13:00:00,80.0,342.0,13,3,False,False
2020-01-02 14:00:00,208.0,349.0,14,3,False,False
2020-01-02 15:00:00,248.0,461.0,15,3,False,False
2020-01-02 16:00:00,70.0,469.0,16,3,False,False
2020-01-02 17:00:00,50.0,514.0,17,3,False,False
2020-01-02 18:00:00,120.0,512.0,18,3,False,False
2020-01-02 19:00:00,324.0,478.0,19,3,False,False
2020-01-02 20:00:00,452.0,383.0,20,3,False,False
2020-01-02 21:00:00,412.0,427.0,21,3,False,False
2020-01-02 22:00:00,424.0,373.0,22,3,False,False
2020-01-02 23:00:00,340.0,271.0,23,3,False,False
2020-01-03 00:00:00,294.0,313.0,0,4,False,False
2020-01-03 01:00:00,150.0,244.0,1,4,False,False
2020-01-03 02:00:00,132.0,166.0,2,4,False,False
2020-01-03 03:00:00,56.0,150.0,3,4,False,False
2020-01-03 04:00:00,0.0,148.0,4,4,False,False
2020-01-03 05:00:00,2.0,406.0,5,4,False,False
2020-01-03 06:00:00,2.0,191.0,6,4,False,False
2020-01-03 07:00:00,32.0,314.0,7,4,False,False
2020-01-03 08:00:00,68.0,505.0,8,4,False,False
2020-01-03 09:00:00,64.0,443.0,9,4,False,False
2020-01-03 10:00:00,100.0,432.0,10,4,False,False
2020-01-03 11:00:00,180.0,464.0,11,4,False,False
2020-01-03 12:00:00,244.0,479.0,12,4,False,False
2020-01-03 13:00:00,276.0,370.0,13,4,False,False
2020-01-03 14:00:00,416.0,344.0,14,4,False,False
2020-01-03 15:00:00,208.0,370.0,15,4,False,False
2020-01-03 16:00:00,146.0,373.0,16,4,False,False
2020-01-03 17:00:00,120.0,582.0,17,4,False,False
2020-01-03 18:00:00,72.0,410.0,18,4,False,False
2020-01-03 19:00:00,244.0,366.0,19,4,False,False
2020-01-03 20:00:00,260.0,443.0,20,4,False,False
2020-01-03 21:00:00,350.0,418.0,21,4,False,False
2020-01-03 22:00:00,276.0,391.0,22,4,False,False
2020-01-03 23:00:00,228.0,284.0,23,4,False,False
2020-01-04 00:00:00,282.0,227.0,0,5,True,False
2020-01-04 01:00:00,458.0,290.0,1,5,True,False
2020-01-04 02:00:00,188.0,289.0,2,5,True,False
2020-01-04 03:00:00,0.0,211.0,3,5,True,False
2020-01-04 04:00:00,0.0,157.0,4,5,True,False
2020-01-04 05:00:00,0.0,154.0,5,5,True,False
2020-01-04 06:00:00,0.0,162.0,6,5,True,False
2020-01-04 07:00:00,8.0,259.0,7,5,True,False
2020-01-04 08:00:00,52.0,552.0,8,5,True,False
2020-01-04 09:00:00,150.0,513.0,9,5,True,False
2020-01-04 10:00:00,162.0,392.0,10,5,True,False
2020-01-04 11:00:00,158.0,390.0,11,5,True,False
2020-01-04 12:00:00,142.0,401.0,12,5,True,False
2020-01-04 13:00:00,184.0,353.0,13,5,True,False
2020-01-04 14:00:00,266.0,327.0,14,5,True,False
2020-01-04 15:00:00,466.0,497.0,15,5,True,False
2020-01-04 16:00:00,312.0,396.0,16,5,True,False
2020-01-04 17:00:00,160.0,613.0,17,5,True,False
2020-01-04 18:00:00,224.0,518.0,18,5,True,False
2020-01-04 19:00:00,224.0,397.0,19,5,True,False
2020-01-04 20:00:00,232.0,410.0,20,5,True,False
2020-01-04 21:00:00,264.0,402.0,21,5,True,False
2020-01-04 22:00:00,350.0,399.0,22,5,True,False
2020-01-04 23:00:00,258.0,361.0,23,5,True,False
2020-01-05 00:00:00,124.0,264.0,0,6,True,False
2020-01-05 01:00:00,182.0,202.0,1,6,True,False
2020-01-05 02:00:00,230.0,178.0,2,6,True,False
2020-01-05 03:00:00,200.0,174.0,3,6,True,False
2020-01-05 04:00:00,84.0,213.0,4,6,True,False
2020-01-05 05:00:00,0.0,173.0,5,6,True,False
2020-01-05 06:00:00,0.0,153.0,6,6,True,False
2020-01-05 07:00:00,0.0,198.0,7,6,True,False
2020-01-05 08:00:00,16.0,323.0,8,6,True,False
2020-01-05 09:00:00,92.0,529.0,9,6,True,False
2020-01-05 10:00:00,56.0,462.0,10,6,True,False
2020-01-05 11:00:00,180.0,502.0,11,6,True,False
2020-01-05 12:00:00,182.0,395.0,12,6,True,False
2020-01-05 13:00:00,174.0,415.0,13,6,True,False
2020-01-05 14:00:00,242.0,465.0,14,6,True,False
2020-01-05 15:00:00,386.0,375.0,15,6,True,False
2020-01-05 16:00:00,416.0,311.0,16,6,True,False
2020-01-05 17:00:00,320.0,342.0,17,6,True,False
2020-01-05 18:00:00,280.0,632.0,18,6,True,False
2020-01-05 19:00:00,180.0,422.0,19,6,True,False
2020-01-05 20:00:00,230.0,416.0,20,6,True,False
2020-01-05 21:00:00,276.0,485.0,21,6,True,False
2020-01-05 22:00:00,276.0,445.0,22,6,True,False
2020-01-05 23:00:00,370.0,362.0,23,6,True,False
2020-01-06 00:00:00,274.0,287.0,0,0,False,False
2020-01-06 01:00:00,206.0,265.0,1,0,False,False
2020-01-06 02:00:00,92.0,210.0,2,0,False,False
2020-01-06 03:00:00,0.0,142.0,3,0,False,False
2020-01-06 04:00:00,0.0,169.0,4,0,False,False
2020-01-06 05:00:00,0.0,195.0,5,0,False,False
2020-01-06 06:00:00,2.0,175.0,6,0,False,False
2020-01-06 07:00:00,74.0,234.0,7,0,False,False
2020-01-06 08:00:00,150.0,561.0,8,0,False,False
2020-01-06 09:00:00,78.0,445.0,9,0,False,False
2020-01-06 10:00:00,188.0,340.0,10,0,False,False
2020-01-06 11:00:00,236.0,523.0,11,0,False,False
2020-01-06 12:00:00,138.0,363.0,12,0,False,False
2020-01-06 13:00:00,206.0,320.0,13,0,False,False
2020-01-06 14:00:00,304.0,338.0,14,0,False,False
2020-01-06 15:00:00,248.0,318.0,15,0,False,False
2020-01-06 16:00:00,332.0,355.0,16,0,False,False
