logTime,정읍권_정읍시 마곡(배) 유량 금일적산차(46951),weekday,hour,is_holiday,is_weekend,month,정읍시_마곡(배) 1소블록 유량적산차(48419),정읍시_마곡(배) 2소블록 유량적산차(48423),정읍시_마곡(배) 3소블록 유량적산차(48427),정읍시_마곡(배) 4소블록 유량적산차(48431),정읍시_마곡(배) 5소블록 유량적산차(48435),정읍시_마곡(배) 7소블록 유량적산차(48443),정읍시_마곡(배) 8소블록 유량적산차(48447),정읍시_마곡(배) 9소블록 유량적산차(48451),목련_구간사용량(㎥),삼화그린_구간사용량(㎥),수성주공3_구간사용량(㎥),제일_구간사용량(㎥),한국원자력_구간사용량(㎥)
2025-05-05 00:00:00,327.0,0,0,0,0,5,5.0,6.0,34.0,103.0,41.0,31.0,29.0,27.0,2.42,0.0,0.0,17.62,3.6
2025-05-05 01:00:00,327.0,0,1,0,0,5,5.0,4.0,24.0,83.0,38.0,25.0,19.0,22.0,1.92,0.0,0.0,10.36,3.8
2025-05-05 02:00:00,222.0,0,2,0,0,5,4.0,5.0,19.0,68.0,31.0,16.0,16.0,20.0,1.63,0.0,0.0,7.12,3.8
2025-05-05 03:00:00,290.0,0,3,0,0,5,4.0,4.0,11.0,57.0,33.0,13.0,16.0,18.0,0.96,0.0,0.0,4.74,3.8
2025-05-05 04:00:00,371.0,0,4,0,0,5,4.0,4.0,11.0,56.0,36.0,14.0,16.0,19.0,0.92,0.0,0.0,4.05,3.8
2025-05-05 05:00:00,359.0,0,5,0,0,5,4.0,5.0,13.0,61.0,41.0,16.0,18.0,19.0,1.39,0.0,0.0,3.8,3.9
2025-05-05 06:00:00,271.0,0,6,0,0,5,4.0,6.0,34.0,72.0,45.0,21.0,22.0,23.0,2.04,0.0,0.0,3.35,3.8
2025-05-05 07:00:00,387.0,0,7,0,0,5,6.0,6.0,54.0,106.0,73.0,32.0,22.0,30.0,3.64,0.0,25.15,3.21,3.8
2025-05-05 08:00:00,559.0,0,8,0,0,5,10.0,8.0,108.0,102.0,77.0,42.0,46.0,38.0,7.18,0.0,0.0,3.73,4.0
2025-05-05 09:00:00,715.0,0,9,0,0,5,11.0,8.0,67.0,114.0,81.0,48.0,96.0,44.0,8.07,0.0,0.0,7.82,3.9
2025-05-05 10:00:00,740.0,0,10,0,0,5,10.0,8.0,94.0,154.0,82.0,48.0,40.0,50.0,7.01,0.0,27.13,13.89,4.0
2025-05-05 11:00:00,637.0,0,11,0,0,5,7.0,7.0,47.0,128.0,72.0,46.0,29.0,43.0,5.55,0.0,0.0,14.3,4.2
2025-05-05 12:00:00,659.0,0,12,0,0,5,8.0,6.0,85.0,141.0,65.0,40.0,33.0,39.0,5.76,0.0,0.0,13.96,4.3
2025-05-05 13:00:00,784.0,0,13,0,0,5,8.0,8.0,62.0,228.0,97.0,35.0,63.0,45.0,4.8,0.0,25.58,13.27,4.1
2025-05-05 14:00:00,827.0,0,14,0,0,5,8.0,11.0,71.0,158.0,83.5,37.0,83.0,53.0,5.17,9.0,0.0,11.46,4.2
