logTime,정읍시_장명(배) 유출유량 적산차,정읍시_장명(배) 1소블록 유량적산차,정읍시_장명(배) 2소블록 유량적산차,정읍시_장명(배) 3소블록 유량적산차,정읍시_장명(배) 5소블록 유량적산차,정읍시_장명(배) 6소블록 유량적산차,정읍시_상동(가) 유출유량 적산차,hour,weekday,is_weekend,is_holiday,대광_구간사용량(㎥),시기동_구간사용량(㎥),영창파크_구간사용량(㎥),우미_구간사용량(㎥),상동휴먼_구간사용량(㎥)
2024-11-28 00:00:00,358.0,11.0,8.0,97.0,85.0,54.0,0.0,0,3,False,False,0.0,0.0,0.0,0.0,3.6
2024-11-28 01:00:00,352.0,9.0,6.0,105.0,27.0,94.0,38.0,1,3,False,False,0.0,0.0,0.0,0.0,31.7
2024-11-28 02:00:00,394.0,9.0,5.0,62.0,21.0,4.0,41.0,2,3,False,False,0.0,0.0,0.0,23.3,0.7
2024-11-28 03:00:00,362.0,8.0,5.0,89.0,20.0,0.0,58.0,3,3,False,False,0.19,0.0,0.0,0.0,0.0
2024-11-28 04:00:00,406.0,9.0,6.0,28.0,19.0,25.0,0.0,4,3,False,False,0.0,30.4,0.0,0.0,0.0
2024-11-28 05:00:00,412.0,8.0,6.0,29.0,20.0,37.0,0.0,5,3,False,False,0.0,32.3,0.0,0.0,0.0
2024-11-28 06:00:00,386.0,10.0,8.0,42.0,24.0,6.0,40.0,6,3,False,False,0.0,0.0,0.0,0.0,0.0
2024-11-28 07:00:00,402.0,13.0,12.0,80.0,78.0,17.0,90.0,7,3,False,False,0.0,0.0,0.0,25.4,0.0
2024-11-28 08:00:00,470.0,17.0,18.0,156.0,122.0,131.0,55.0,8,3,False,False,0.0,0.0,0.0,29.3,7.0
2024-11-28 09:00:00,482.0,19.0,17.0,186.0,156.0,67.0,48.0,9,3,False,False,64.28,0.0,0.0,0.0,31.7
2024-11-28 10:00:00,392.0,21.0,16.0,166.0,88.0,35.0,52.0,10,3,False,False,5.48,0.0,0.0,25.7,22.1
2024-11-28 11:00:00,280.0,18.0,18.0,100.0,76.0,36.0,0.0,11,3,False,False,0.0,19.2,0.0,10.2,0.0
2024-11-28 12:00:00,268.0,18.0,15.0,136.0,65.0,65.0,47.0,12,3,False,False,0.02,46.0,0.0,14.5,0.0
2024-11-28 13:00:00,304.0,17.0,18.0,126.0,68.0,57.0,40.0,13,3,False,False,0.0,0.0,0.0,0.0,0.0
2024-11-28 14:00:00,418.0,19.0,18.0,226.0,97.0,110.0,10.0,14,3,False,False,0.01,0.0,0.0,25.3,0.0
2024-11-28 15:00:00,392.0,22.0,13.0,97.0,108.0,33.0,86.0,15,3,False,False,0.0,0.0,0.0,0.0,23.1
2024-11-28 16:00:00,364.0,23.0,13.0,104.0,128.0,16.0,33.0,16,3,False,False,0.01,0.0,0.0,25.8,15.6
2024-11-28 17:00:00,418.0,18.0,12.0,88.0,81.0,17.0,32.0,17,3,False,False,0.0,0.0,0.0,0.0,0.0
2024-11-28 18:00:00,404.0,19.0,14.0,156.0,84.0,20.0,102.0,18,3,False,False,56.44,0.0,0.0,26.7,0.0
2024-11-28 19:00:00,400.0,19.0,14.0,190.0,74.0,115.0,55.0,19,3,False,False,10.1,0.0,0.0,28.1,5.0
2024-11-28 20:00:00,388.0,19.0,12.0,228.0,84.0,80.5,100.0,20,3,False,False,0.0,69.7,0.0,0.0,31.6
2024-11-28 21:00:00,388.0,16.0,13.0,169.0,87.0,46.0,50.0,21,3,False,False,0.01,7.2,0.0,27.4,17.8
2024-11-28 22:00:00,402.0,15.0,13.0,219.0,35.0,20.0,55.0,22,3,False,False,32.3,0.0,0.0,27.9,0.0
2024-11-28 23:00:00,402.0,13.0,11.0,211.0,32.0,28.0,93.0,23,3,False,False,52.84,0.0,0.0,25.2,0.0
2024-11-29 00:00:00,424.0,11.0,8.0,114.0,27.0,119.0,45.0,0,4,False,False,3.22,0.0,0.0,0.0,0.0
2024-11-29 01:00:00,414.0,11.0,7.0,120.0,23.0,29.0,69.0,1,4,False,False,0.0,0.0,0.0,0.0,21.3
2024-11-29 02:00:00,430.0,10.0,9.0,86.0,32.0,4.0,66.0,2,4,False,False,0.0,0.0,0.0,6.5,17.1
